date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:21	63810/63810	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2010:05:46%20GMT	https://dreamslms.dreamguystech.com/html/index.html	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/index.html	(from )
15:12:21	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Apr%202023%2014:12:21%20GMT	https://dreamslms.dreamguystech.com/robots.txt		(from )
15:12:22	2924/2924	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b6c-5e49de440be80%22	https://dreamslms.dreamguystech.com/html/assets/img/favicon.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/favicon.svg	(from https://dreamslms.dreamguystech.com/html/index.html)
15:12:22	163879/163879	---M-Z	200	added ('OK')	text/css	etag:%2228027-5e3ae0529e680-gzip%22	https://dreamslms.dreamguystech.com/html/assets/css/bootstrap.min.css	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/css/bootstrap.min.css	(from https://dreamslms.dreamguystech.com/html/index.html)
15:12:22	68949/68949	---M-Z	200	added ('OK')	text/css	etag:%2210d55-5e3ae0529e680-gzip%22	https://dreamslms.dreamguystech.com/html/assets/plugins/fontawesome/css/fontawesome.min.css	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://dreamslms.dreamguystech.com/html/index.html)
15:12:23	89225/89225	---M-Z	200	added ('OK')	text/css	etag:%2215c89-5e3ae0529e680-gzip%22	https://dreamslms.dreamguystech.com/html/assets/plugins/fontawesome/css/all.min.css	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/plugins/fontawesome/css/all.min.css	(from https://dreamslms.dreamguystech.com/html/index.html)
15:12:24	3356/3356	---M-Z	200	added ('OK')	text/css	etag:%22d1c-5e3ae0529e680-gzip%22	https://dreamslms.dreamguystech.com/html/assets/css/owl.carousel.min.css	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/css/owl.carousel.min.css	(from https://dreamslms.dreamguystech.com/html/index.html)
15:12:26	1018/1018	---M-Z	200	added ('OK')	text/css	etag:%223fa-5e3ae0529e680-gzip%22	https://dreamslms.dreamguystech.com/html/assets/css/owl.theme.default.min.css	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/css/owl.theme.default.min.css	(from https://dreamslms.dreamguystech.com/html/index.html)
15:12:27	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%22767-5e3ae0529e680-gzip%22	https://dreamslms.dreamguystech.com/html/assets/plugins/slick/slick.css	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/plugins/slick/slick.css	(from https://dreamslms.dreamguystech.com/html/index.html)
15:12:27	2664/2664	---M-Z	200	added ('OK')	text/css	etag:%22a68-5e3ae0529e680-gzip%22	https://dreamslms.dreamguystech.com/html/assets/plugins/slick/slick-theme.css	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/plugins/slick/slick-theme.css	(from https://dreamslms.dreamguystech.com/html/index.html)
